bin,n,response_rate,feature
"(9.999, 209.0]",5001,0.09438112377524495,company_size
"(209.0, 407.0]",5024,0.09574044585987261,company_size
"(407.0, 604.0]",4991,0.10659186535764376,company_size
"(604.0, 806.0]",5001,0.10557888422315537,company_size
"(806.0, 1006.0]",5019,0.11316995417413828,company_size
"(1006.0, 1205.0]",4982,0.10678442392613409,company_size
"(1205.0, 1402.0]",5005,0.10529470529470529,company_size
"(1402.0, 1598.0]",4986,0.10389089450461292,company_size
"(1598.0, 1801.0]",5009,0.11179876222798962,company_size
"(1801.0, 1999.0]",4982,0.11260537936571657,company_size
"(143568.83800000002, 1163142.773]",5000,0.1026,revenue
"(1163142.773, 1657982.514]",5000,0.1062,revenue
"(1657982.514, 2133353.94]",5000,0.1044,revenue
"(2133353.94, 2653024.348]",5000,0.1038,revenue
"(2653024.348, 3232995.263]",5000,0.1148,revenue
"(3232995.263, 3970050.368]",5000,0.1056,revenue
"(3970050.368, 4925753.407]",5000,0.1134,revenue
"(4925753.407, 6389457.422]",5000,0.1012,revenue
"(6389457.422, 9066258.99]",5000,0.1006,revenue
"(9066258.99, 120287666.197]",5000,0.1032,revenue
"(0.999, 12.0]",5126,0.10534529847834569,tenure_months
"(12.0, 24.0]",5082,0.1058638331365604,tenure_months
"(24.0, 36.0]",4987,0.10467214758371766,tenure_months
"(36.0, 48.0]",5007,0.10085879768324346,tenure_months
"(48.0, 60.0]",4957,0.10510389348396207,tenure_months
"(60.0, 72.0]",4956,0.10573042776432606,tenure_months
"(72.0, 84.0]",5072,0.10528391167192429,tenure_months
"(84.0, 96.0]",5112,0.1122848200312989,tenure_months
"(96.0, 108.0]",5089,0.10119866378463352,tenure_months
"(108.0, 119.0]",4612,0.10971379011274934,tenure_months
"(-0.001, 3.0]",5561,0.10591620212192052,contract_remaining_months
"(3.0, 7.0]",5655,0.10539345711759505,contract_remaining_months
"(7.0, 10.0]",4185,0.1034647550776583,contract_remaining_months
"(10.0, 14.0]",5519,0.11723138249682914,contract_remaining_months
"(14.0, 17.0]",4135,0.10810157194679565,contract_remaining_months
"(17.0, 21.0]",5661,0.10704822469528352,contract_remaining_months
"(21.0, 25.0]",5572,0.10786073223259153,contract_remaining_months
"(25.0, 28.0]",4035,0.10458488228004957,contract_remaining_months
"(28.0, 32.0]",5502,0.09233006179571066,contract_remaining_months
"(32.0, 35.0]",4175,0.1029940119760479,contract_remaining_months
"(0.999, 2.0]",19932,0.10686333534015653,current_product_count
"(2.0, 3.0]",9869,0.10436721045698652,current_product_count
"(3.0, 4.0]",10189,0.10540779271763667,current_product_count
"(4.0, 5.0]",10010,0.1043956043956044,current_product_count
"(99.999, 344.69]",5000,0.105,avg_monthly_bill
"(344.69, 432.173]",5000,0.1068,avg_monthly_bill
"(432.173, 495.376]",5000,0.1138,avg_monthly_bill
"(495.376, 549.521]",5000,0.1034,avg_monthly_bill
"(549.521, 600.24]",5000,0.0996,avg_monthly_bill
"(600.24, 650.662]",5000,0.1052,avg_monthly_bill
"(650.662, 705.297]",5000,0.1062,avg_monthly_bill
"(705.297, 768.103]",5000,0.1112,avg_monthly_bill
"(768.103, 856.429]",5000,0.1048,avg_monthly_bill
"(856.429, 1443.645]",5000,0.0998,avg_monthly_bill
"(0.00019000000000000006, 0.0927]",5000,0.097,email_open_rate
"(0.0927, 0.14]",5000,0.1004,email_open_rate
"(0.14, 0.182]",5000,0.0952,email_open_rate
"(0.182, 0.224]",5000,0.108,email_open_rate
"(0.224, 0.265]",5000,0.0958,email_open_rate
"(0.265, 0.309]",5000,0.1106,email_open_rate
"(0.309, 0.361]",5000,0.1084,email_open_rate
"(0.361, 0.424]",5000,0.1174,email_open_rate
"(0.424, 0.512]",5000,0.1144,email_open_rate
"(0.512, 0.932]",5000,0.1086,email_open_rate
"(-0.001, 1.0]",9989,0.10251276404044449,website_visits_30d
"(1.0, 2.0]",11026,0.10847088699437693,website_visits_30d
"(2.0, 3.0]",11030,0.1014505893019039,website_visits_30d
"(3.0, 4.0]",8701,0.10297666934835076,website_visits_30d
"(4.0, 5.0]",5101,0.11252695549892178,website_visits_30d
"(5.0, 12.0]",4153,0.11317120154105466,website_visits_30d
"(-0.000845, 0.0679]",5000,0.0958,prior_campaign_engagement
"(0.0679, 0.114]",5000,0.0966,prior_campaign_engagement
"(0.114, 0.155]",5000,0.0988,prior_campaign_engagement
"(0.155, 0.198]",5000,0.0964,prior_campaign_engagement
"(0.198, 0.244]",5000,0.0992,prior_campaign_engagement
"(0.244, 0.295]",5000,0.1062,prior_campaign_engagement
"(0.295, 0.353]",5000,0.1068,prior_campaign_engagement
"(0.353, 0.423]",5000,0.1112,prior_campaign_engagement
"(0.423, 0.522]",5000,0.1158,prior_campaign_engagement
"(0.522, 0.984]",5000,0.129,prior_campaign_engagement
